Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"C11,C3,C4,C12,C8,C10,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7,100nF,
,,,,,
,,,,,
,,,,,
5,SW2,SW_SPST_CK_RS282G05A3,1,SW_BOOT,
,,,,,
7,"D20,D33,D3,D6,D27,D21,D28,D5,D23,D10,D18,D1,D25,D2,D19,D4,D30,D24,D11,D16,D31,D29,D13,D26,D7,D9,D12,D17,D32,D8,D22,D14,D15",D_SOD-323_HandSoldering,33,D,
,,,,,
,,,,,
,,,,,
11,U1,SOT-23,1,LM3480-3.3,
,,,,,
13,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10K,
,,,,,
15,"C1,C9,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,4.7uF,
16,"C14,C13",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,20pF,
17,J2,Plug_3.5mm_CUI_SP-3541,1,AudioJack4,
18,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1uF,
,,,,,
,,,,,
21,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
22,"R2,R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,5.1K,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
33,U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
34,SW1,SW_SPST_CK_RS282G05A3,1,SW_RESET,
,,,,,
36,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,8MHz,
,,,,,
,,,,,
,,,,,
,,,,,
41,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10nF,
,,,,,
,,,,,
,,,,,
45,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,390,
,,,,,
,,,,,
,,,,,
49,J3,Harwin_M20-89010xx_1x10_P2.54mm_Horizontal,1,Conn_ARM_JTAG_SWD_10,
